"id","n","label","parent"
"total",117551,NA,NA
"total  -  Action",17421,"Action","total"
"total  -  Adventure",10156,"Adventure","total"
"total  -  Animation",4090,"Animation","total"
"total  -  Comedy",17357,"Comedy","total"
"total  -  Crime",12500,"Crime","total"
"total  -  Documentary",392,"Documentary","total"
"total  -  Drama",30278,"Drama","total"
"total  -  Family",257,"Family","total"
"total  -  Fantasy",1974,"Fantasy","total"
"total  -  Horror",572,"Horror","total"
"total  -  Music",401,"Music","total"
"total  -  Musical",54,"Musical","total"
"total  -  Mystery",4825,"Mystery","total"
"total  -  Romance",8910,"Romance","total"
"total  -  Sci Fi",1194,"Sci Fi","total"
"total  -  Thriller",7170,"Thriller","total"
"total  -  Action  -  Argentina",130,"Argentina","total  -  Action"
"total  -  Adventure  -  Argentina",98,"Argentina","total  -  Adventure"
"total  -  Animation  -  Argentina",58,"Argentina","total  -  Animation"
"total  -  Comedy  -  Argentina",170,"Argentina","total  -  Comedy"
"total  -  Crime  -  Argentina",138,"Argentina","total  -  Crime"
"total  -  Drama  -  Argentina",361,"Argentina","total  -  Drama"
"total  -  Music  -  Argentina",35,"Argentina","total  -  Music"
"total  -  Mystery  -  Argentina",59,"Argentina","total  -  Mystery"
"total  -  Romance  -  Argentina",102,"Argentina","total  -  Romance"
"total  -  Thriller  -  Argentina",84,"Argentina","total  -  Thriller"
"total  -  Action  -  Australia",198,"Australia","total  -  Action"
"total  -  Adventure  -  Australia",130,"Australia","total  -  Adventure"
"total  -  Animation  -  Australia",50,"Australia","total  -  Animation"
"total  -  Comedy  -  Australia",197,"Australia","total  -  Comedy"
"total  -  Crime  -  Australia",141,"Australia","total  -  Crime"
"total  -  Drama  -  Australia",295,"Australia","total  -  Drama"
"total  -  Fantasy  -  Australia",47,"Australia","total  -  Fantasy"
"total  -  Mystery  -  Australia",52,"Australia","total  -  Mystery"
"total  -  Romance  -  Australia",71,"Australia","total  -  Romance"
"total  -  Sci Fi  -  Australia",47,"Australia","total  -  Sci Fi"
"total  -  Thriller  -  Australia",68,"Australia","total  -  Thriller"
"total  -  Action  -  Austria",197,"Austria","total  -  Action"
"total  -  Adventure  -  Austria",115,"Austria","total  -  Adventure"
"total  -  Comedy  -  Austria",184,"Austria","total  -  Comedy"
"total  -  Crime  -  Austria",158,"Austria","total  -  Crime"
"total  -  Drama  -  Austria",323,"Austria","total  -  Drama"
"total  -  Family  -  Austria",36,"Austria","total  -  Family"
"total  -  Fantasy  -  Austria",51,"Austria","total  -  Fantasy"
"total  -  Mystery  -  Austria",61,"Austria","total  -  Mystery"
"total  -  Romance  -  Austria",80,"Austria","total  -  Romance"
"total  -  Thriller  -  Austria",84,"Austria","total  -  Thriller"
"total  -  Action  -  Bahamas",176,"Bahamas","total  -  Action"
"total  -  Adventure  -  Bahamas",96,"Bahamas","total  -  Adventure"
"total  -  Animation  -  Bahamas",76,"Bahamas","total  -  Animation"
"total  -  Comedy  -  Bahamas",186,"Bahamas","total  -  Comedy"
"total  -  Crime  -  Bahamas",146,"Bahamas","total  -  Crime"
"total  -  Drama  -  Bahamas",300,"Bahamas","total  -  Drama"
"total  -  Family  -  Bahamas",45,"Bahamas","total  -  Family"
"total  -  Mystery  -  Bahamas",37,"Bahamas","total  -  Mystery"
"total  -  Romance  -  Bahamas",64,"Bahamas","total  -  Romance"
