"parents","n","labels","id"
"Argentina",1,"Adult","Argentina  -  Adult"
"Argentina",98,"Adventure","Argentina  -  Adventure"
"Argentina",58,"Animation","Argentina  -  Animation"
"Argentina",8,"Biography","Argentina  -  Biography"
"Argentina",170,"Comedy","Argentina  -  Comedy"
"Argentina",138,"Crime","Argentina  -  Crime"
"Argentina",17,"Documentary","Argentina  -  Documentary"
"Argentina",361,"Drama","Argentina  -  Drama"
"Argentina",13,"Family","Argentina  -  Family"
"Argentina",17,"Fantasy","Argentina  -  Fantasy"
"Argentina",2,"Film Noir","Argentina  -  Film Noir"
"Argentina",2,"History","Argentina  -  History"
"Argentina",29,"Horror","Argentina  -  Horror"
"Argentina",35,"Music","Argentina  -  Music"
"Argentina",1,"Musical","Argentina  -  Musical"
"Argentina",59,"Mystery","Argentina  -  Mystery"
"Argentina",102,"Romance","Argentina  -  Romance"
"Argentina",12,"Sci Fi","Argentina  -  Sci Fi"
"Argentina",9,"Sport","Argentina  -  Sport"
"Argentina",84,"Thriller","Argentina  -  Thriller"
"Argentina",3,"War","Argentina  -  War"
"Argentina",4,"Western","Argentina  -  Western"
"Australia",198,"Action","Australia  -  Action"
"Australia",1,"Adult","Australia  -  Adult"
"Australia",130,"Adventure","Australia  -  Adventure"
"Australia",50,"Animation","Australia  -  Animation"
"Australia",14,"Biography","Australia  -  Biography"
"Australia",197,"Comedy","Australia  -  Comedy"
"Australia",141,"Crime","Australia  -  Crime"
"Australia",39,"Documentary","Australia  -  Documentary"
"Australia",295,"Drama","Australia  -  Drama"
"Australia",32,"Family","Australia  -  Family"
"Australia",47,"Fantasy","Australia  -  Fantasy"
"Australia",2,"Film Noir","Australia  -  Film Noir"
"Australia",7,"Game Show","Australia  -  Game Show"
"Australia",6,"History","Australia  -  History"
"Australia",27,"Horror","Australia  -  Horror"
"Australia",2,"Music","Australia  -  Music"
"Australia",4,"Musical","Australia  -  Musical"
"Australia",52,"Mystery","Australia  -  Mystery"
"Australia",25,"Reality TV","Australia  -  Reality TV"
"Australia",71,"Romance","Australia  -  Romance"
"Australia",47,"Sci Fi","Australia  -  Sci Fi"
"Australia",1,"Short","Australia  -  Short"
"Australia",11,"Sport","Australia  -  Sport"
"Australia",68,"Thriller","Australia  -  Thriller"
"Australia",8,"War","Australia  -  War"
"Australia",2,"Western","Australia  -  Western"
"Austria",197,"Action","Austria  -  Action"
"Austria",4,"Adult","Austria  -  Adult"
"Austria",115,"Adventure","Austria  -  Adventure"
"Austria",34,"Animation","Austria  -  Animation"
"Austria",16,"Biography","Austria  -  Biography"
"Austria",184,"Comedy","Austria  -  Comedy"
"Austria",158,"Crime","Austria  -  Crime"
"Austria",31,"Documentary","Austria  -  Documentary"
"Austria",323,"Drama","Austria  -  Drama"
"Austria",36,"Family","Austria  -  Family"
"Austria",51,"Fantasy","Austria  -  Fantasy"
"Austria",2,"Film Noir","Austria  -  Film Noir"
"Austria",6,"Game Show","Austria  -  Game Show"
"Austria",3,"History","Austria  -  History"
"Austria",33,"Horror","Austria  -  Horror"
"Austria",1,"Music","Austria  -  Music"
"Austria",1,"Musical","Austria  -  Musical"
"Austria",61,"Mystery","Austria  -  Mystery"
"Austria",11,"Reality TV","Austria  -  Reality TV"
"Austria",80,"Romance","Austria  -  Romance"
"Austria",21,"Sci Fi","Austria  -  Sci Fi"
"Austria",17,"Sport","Austria  -  Sport"
"Austria",84,"Thriller","Austria  -  Thriller"
"Austria",3,"War","Austria  -  War"
"Bahamas",176,"Action","Bahamas  -  Action"
"Bahamas",1,"Adult","Bahamas  -  Adult"
"Bahamas",96,"Adventure","Bahamas  -  Adventure"
"Bahamas",76,"Animation","Bahamas  -  Animation"
"Bahamas",11,"Biography","Bahamas  -  Biography"
"Bahamas",186,"Comedy","Bahamas  -  Comedy"
"Bahamas",146,"Crime","Bahamas  -  Crime"
"Bahamas",15,"Documentary","Bahamas  -  Documentary"
"Bahamas",300,"Drama","Bahamas  -  Drama"
"Bahamas",45,"Family","Bahamas  -  Family"
"Bahamas",30,"Fantasy","Bahamas  -  Fantasy"
"Bahamas",3,"Film Noir","Bahamas  -  Film Noir"
"Bahamas",5,"Game Show","Bahamas  -  Game Show"
"Bahamas",30,"Horror","Bahamas  -  Horror"
"Bahamas",2,"Music","Bahamas  -  Music"
"Bahamas",37,"Mystery","Bahamas  -  Mystery"
"Bahamas",9,"Reality TV","Bahamas  -  Reality TV"
"Bahamas",64,"Romance","Bahamas  -  Romance"
"Bahamas",22,"Sci Fi","Bahamas  -  Sci Fi"
"Bahamas",8,"Sport","Bahamas  -  Sport"
"Bahamas",94,"Thriller","Bahamas  -  Thriller"
"Bahamas",4,"War","Bahamas  -  War"
"Bahamas",3,"Western","Bahamas  -  Western"
"Bahrain",195,"Action","Bahrain  -  Action"
