"country_name","genres","n"
"Argentina","Action",130
"Argentina","Adult",1
"Argentina","Adventure",98
"Argentina","Animation",58
"Argentina","Biography",8
"Argentina","Comedy",170
"Argentina","Crime",138
"Argentina","Documentary",17
"Argentina","Drama",361
"Argentina","Family",13
"Argentina","Fantasy",17
"Argentina","Film-Noir",2
"Argentina","History",2
"Argentina","Horror",29
"Argentina","Music",35
"Argentina","Musical",1
"Argentina","Mystery",59
"Argentina","Romance",102
"Argentina","Sci-Fi",12
"Argentina","Sport",9
"Argentina","Thriller",84
"Argentina","War",3
"Argentina","Western",4
"Australia","Action",198
"Australia","Adult",1
"Australia","Adventure",130
"Australia","Animation",50
"Australia","Biography",14
"Australia","Comedy",197
"Australia","Crime",141
"Australia","Documentary",39
"Australia","Drama",295
"Australia","Family",32
"Australia","Fantasy",47
"Australia","Film-Noir",2
"Australia","Game-Show",7
"Australia","History",6
"Australia","Horror",27
"Australia","Music",2
"Australia","Musical",4
"Australia","Mystery",52
"Australia","Reality-TV",25
"Australia","Romance",71
"Australia","Sci-Fi",47
"Australia","Short",1
"Australia","Sport",11
"Australia","Thriller",68
"Australia","War",8
"Australia","Western",2
"Austria","Action",197
"Austria","Adult",4
"Austria","Adventure",115
"Austria","Animation",34
"Austria","Biography",16
"Austria","Comedy",184
"Austria","Crime",158
"Austria","Documentary",31
"Austria","Drama",323
"Austria","Family",36
"Austria","Fantasy",51
"Austria","Film-Noir",2
"Austria","Game-Show",6
"Austria","History",3
"Austria","Horror",33
"Austria","Music",1
"Austria","Musical",1
"Austria","Mystery",61
"Austria","Reality-TV",11
"Austria","Romance",80
"Austria","Sci-Fi",21
"Austria","Sport",17
"Austria","Thriller",84
"Austria","War",3
"Bahamas","Action",176
"Bahamas","Adult",1
"Bahamas","Adventure",96
"Bahamas","Animation",76
"Bahamas","Biography",11
"Bahamas","Comedy",186
"Bahamas","Crime",146
"Bahamas","Documentary",15
"Bahamas","Drama",300
"Bahamas","Family",45
"Bahamas","Fantasy",30
"Bahamas","Film-Noir",3
"Bahamas","Game-Show",5
"Bahamas","Horror",30
"Bahamas","Music",2
"Bahamas","Mystery",37
"Bahamas","Reality-TV",9
"Bahamas","Romance",64
"Bahamas","Sci-Fi",22
"Bahamas","Sport",8
"Bahamas","Thriller",94
"Bahamas","War",4
"Bahamas","Western",3
"Bahrain","Action",195
"Bahrain","Adult",2
"Bahrain","Adventure",101
"Bahrain","Animation",37
"Bahrain","Biography",17
"Bahrain","Comedy",173
"Bahrain","Crime",127
"Bahrain","Documentary",18
"Bahrain","Drama",333
"Bahrain","Family",15
"Bahrain","Fantasy",38
"Bahrain","Film-Noir",3
"Bahrain","Game-Show",9
"Bahrain","History",3
"Bahrain","Horror",32
"Bahrain","Music",1
"Bahrain","Musical",3
"Bahrain","Mystery",54
"Bahrain","Reality-TV",14
"Bahrain","Romance",90
"Bahrain","Sci-Fi",23
"Bahrain","Sport",8
"Bahrain","Thriller",89
"Bahrain","War",5
"Bangladesh","Action",223
"Bangladesh","Adult",1
